Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,307.350006,314.500000,304.000000,312.125000,201.670776,1545060
2007-01-03,313.250000,322.000000,309.787994,320.037994,206.783600,4384972
2007-01-04,321.250000,321.250000,312.524994,314.763000,203.375244,3970700
2007-01-05,316.250000,317.149994,313.274994,315.750000,204.012970,2718740
2007-01-08,314.750000,314.750000,303.750000,310.950012,200.911652,4951892
2007-01-09,311.975006,315.462006,306.312012,314.100006,202.946945,4020568
2007-01-10,311.138000,313.750000,307.500000,308.850006,199.554733,2931428
2007-01-11,299.725006,324.500000,299.725006,319.412994,206.379700,7400664
2007-01-12,322.537994,332.250000,322.537994,330.987000,213.858002,6175748
2007-01-15,337.500000,342.000000,325.013000,331.587006,214.245682,12255832
2007-01-16,347.237000,347.237000,329.750000,331.024994,213.882492,7625964
2007-01-17,332.475006,333.750000,325.000000,326.162994,210.741043,2633828
2007-01-18,326.250000,331.487000,326.250000,328.862000,212.484924,2719816
2007-01-19,328.862000,331.625000,323.037994,324.537994,209.691147,2882056
2007-01-22,325.024994,330.600006,322.513000,328.362000,214.141434,3180956
2007-01-23,328.274994,328.487000,325.000000,325.674988,212.389069,3124152
2007-01-24,327.875000,328.500000,324.537994,326.787994,213.114914,2355148
2007-01-25,331.250000,342.250000,325.725006,328.862000,214.467484,5553976
2007-01-29,328.750000,328.750000,322.750000,324.437988,211.582306,2982324
2007-01-31,324.274994,328.475006,318.000000,319.475006,208.345749,4865928
2007-02-01,322.487000,323.750000,318.750000,323.013000,210.653091,1859904
2007-02-02,324.750000,326.750000,323.763000,325.125000,212.030411,4274616
2007-02-05,326.250000,328.475006,323.500000,326.450012,212.894440,3010736
2007-02-06,328.250000,328.475006,322.513000,324.600006,211.687973,3411964
2007-02-07,325.000000,328.100006,323.799988,326.575012,212.976013,2599984
2007-02-08,327.850006,328.725006,324.337006,326.125000,212.682480,2650024
2007-02-09,327.350006,329.362000,320.787994,321.850006,209.894516,1993360
2007-02-12,312.500000,324.674988,312.500000,313.950012,204.742599,1786388
2007-02-13,314.000000,321.225006,308.750000,313.225006,204.269760,4130352
2007-02-14,313.250000,316.750000,310.000000,315.187988,205.550018,3137876
2007-02-15,316.250000,325.000000,306.274994,323.062012,210.685059,3673556
2007-02-19,325.350006,329.674988,323.799988,327.450012,213.546555,4738696
2007-02-20,328.475006,330.950012,323.750000,324.888000,211.875870,5400148
2007-02-21,325.000000,327.937988,320.000000,320.962006,209.315491,3938188
2007-02-22,325.000000,328.100006,321.500000,323.575012,211.019592,6939112
2007-02-23,323.750000,324.875000,318.250000,319.337006,208.255737,3167688
2007-02-26,318.000000,323.462006,308.125000,321.524994,209.682602,4677684
2007-02-27,313.500000,323.549988,313.500000,316.037994,206.104248,4709968
2007-02-28,308.250000,311.237000,293.000000,298.350006,194.569077,9347956
2007-03-01,300.000000,317.000000,297.600006,313.662994,204.555435,7858564
2007-03-02,313.700012,315.000000,300.250000,302.138000,197.039383,5311752
2007-03-05,297.500000,299.750000,287.500000,288.888000,188.398376,5120880
2007-03-06,302.500000,333.750000,290.274994,299.312012,195.196396,3623920
2007-03-07,300.500000,306.174988,289.350006,297.950012,194.308228,4440632
2007-03-08,297.500000,307.424988,297.500000,304.600006,198.644958,2274988
2007-03-09,307.075012,308.250000,299.500000,303.037994,197.626358,3232148
2007-03-12,306.174988,313.424988,302.750000,308.750000,201.351395,3636936
2007-03-13,306.375000,317.225006,300.024994,316.350006,206.307785,2032088
2007-03-14,306.250000,310.475006,301.250000,303.388000,197.854599,3824948
2007-03-15,307.500000,312.750000,307.000000,308.575012,201.237320,3823288
2007-03-16,310.350006,314.462006,303.787994,309.412994,201.783783,4224284
2007-03-19,304.075012,316.187988,300.450012,315.225006,205.574112,1213696
2007-03-20,315.000000,319.125000,312.000000,313.250000,204.286102,2775592
2007-03-21,315.250000,317.350006,310.000000,316.750000,206.568619,1970036
2007-03-22,319.250000,326.750000,319.250000,325.763000,212.446487,4125592
2007-03-23,328.000000,330.000000,320.000000,322.049988,210.025055,5265296
2007-03-26,321.250000,324.674988,313.812012,315.337006,205.647125,6098736
2007-03-28,317.475006,317.475006,298.513000,300.250000,195.808151,8818048
2007-03-29,297.237000,314.200012,297.237000,312.087006,203.527740,10266624
2007-03-30,312.087006,313.700012,305.062012,308.462006,201.163605,2807056
2007-04-02,302.500000,305.000000,296.250000,297.299988,193.884323,3875896
2007-04-03,298.750000,304.200012,297.000000,300.662994,196.077484,3256852
2007-04-04,304.500000,306.174988,297.600006,299.600006,195.384201,2402496
2007-04-05,299.862000,301.500000,296.524994,298.549988,194.699478,2533992
2007-04-09,300.125000,306.687988,300.125000,304.299988,198.449356,2284524
2007-04-10,304.299988,306.250000,298.837006,299.337006,195.212723,3480240
2007-04-11,301.350006,302.362000,296.750000,297.638000,194.104736,3826336
2007-04-12,297.000000,302.250000,293.000000,300.237000,195.799713,3694956
2007-04-13,302.500000,317.100006,298.500000,315.500000,205.753418,9778848
2007-04-16,321.000000,326.475006,317.562012,320.062012,208.728531,9986220
2007-04-17,321.424988,328.750000,309.500000,312.562012,203.837418,10464964
2007-04-18,313.500000,316.250000,310.250000,311.875000,203.389435,2853584
2007-04-19,307.500000,312.000000,301.274994,310.725006,202.639359,3164652
2007-04-20,313.000000,316.987000,312.524994,314.412994,205.044510,2870752
2007-04-23,313.750000,317.450012,311.250000,311.950012,203.438278,2265224
2007-04-24,311.000000,315.500000,304.750000,306.212006,199.696274,6922516
